,job,6,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
1563,"Teacher, secondary school",Hull LLC,620-66-1327,"3041 John Locks
Maryville, MI 19714","(Decimal('-32.046334'), Decimal('-52.186268'))",B-,"['https://www.hall-warren.net/', 'https://phillips.com/', 'https://thomas.com/']",hlin,Samantha Walters,F,"0465 George Prairie Apt. 829
East Cheryl, NM 17132",elizabethguzman@hotmail.com,8/13/2011
1564,Air traffic controller,Hammond-Nguyen,199-81-8544,"52693 Mathis Union
Bradyport, LA 49850","(Decimal('72.9355665'), Decimal('124.042234'))",AB-,"['http://ingram.biz/', 'https://www.smith-singleton.com/', 'https://sandoval.biz/']",johnnywhitehead,Jeremy Newton,M,"35225 Victoria Forks
South Annette, CT 85219",navila@hotmail.com,8/21/1940
1565,Hydrographic surveyor,"Oconnor, Cannon and Frost",715-78-2586,"546 Kelly Fall Suite 084
Robertshire, PA 07467","(Decimal('-5.506027'), Decimal('-96.003033'))",O+,['http://www.black.com/'],mcclainsteven,George Small,M,"049 Jennifer Turnpike Suite 439
New Tracymouth, MI 14531",brianwalker@gmail.com,3/23/1935
1566,"Therapist, occupational","Black, Williams and Huang",405-25-9820,"5782 Rivera Pine Apt. 686
West Annaville, MI 54389","(Decimal('-38.3724955'), Decimal('-62.710868'))",AB+,['https://haley-hunt.com/'],torresdaniel,Beverly Smith,F,"3304 Zhang Brooks
Laurentown, HI 14445",gonzalezpeter@gmail.com,2/28/1916
1567,Clinical biochemist,Johnson Inc,622-82-8158,"2872 Brittany Track
New Josephmouth, MA 69757","(Decimal('76.5063865'), Decimal('-110.496427'))",A+,"['https://www.ruiz.com/', 'https://www.cook.org/', 'https://www.hall.com/', 'https://www.martin.com/']",solissamuel,Elizabeth Parker,F,"005 Hernandez Isle
Eatonfurt, NJ 19527",poolestephen@gmail.com,9/20/1940
1568,"Engineer, petroleum","Mcfarland, Hansen and Ortiz",522-46-9704,"27043 Harrell Keys Apt. 698
East Maryville, WA 09173","(Decimal('34.7436565'), Decimal('-1.104386'))",O+,"['https://www.burton-martinez.com/', 'http://www.lopez-butler.com/', 'https://www.harris.com/', 'https://crosby.com/']",jesse03,Jasmine Meza,F,"PSC 5924, Box 4835
APO AA 97294",fosterbenjamin@hotmail.com,12/18/1984
1569,Police officer,Cooper PLC,517-51-3183,"576 Patricia Dale Apt. 092
North Ryantown, CA 35643","(Decimal('86.4145205'), Decimal('96.933626'))",O-,"['https://www.collins.biz/', 'http://glover.com/', 'https://west-howard.com/', 'http://www.anderson.com/']",jameswade,Jeffrey Douglas Jr.,M,"692 Brown Way
Lake Richardhaven, MO 83512",genecampbell@gmail.com,5/12/1920
1570,Phytotherapist,"Hurst, Garcia and Bullock",064-62-6572,"49482 Chung Ferry
New Paulside, TN 27465","(Decimal('23.3908185'), Decimal('31.395055'))",O-,"['https://ramos-bailey.com/', 'http://colon-lopez.info/', 'https://nicholson.com/']",meyercindy,Patricia Fernandez,F,"738 Kristine Parks
Mcfarlandport, OK 17748",markbarber@yahoo.com,10/21/2002
1571,Tree surgeon,Johnson-Weber,759-88-6119,"363 Porter Bypass Apt. 912
Port Austinville, DC 68521","(Decimal('63.014820'), Decimal('153.989493'))",AB-,"['https://david-sanchez.com/', 'https://gardner.com/']",breed,Nicholas Robinson,M,"Unit 6754 Box 1237
DPO AP 59910",rsmith@yahoo.com,11/3/1976
1572,Translator,Wall-Williams,617-24-7860,"157 Molina Prairie Apt. 126
West Anaview, CO 74675","(Decimal('-20.876058'), Decimal('26.342908'))",O+,"['http://www.smith.biz/', 'https://www.valenzuela.com/', 'http://www.acosta-hester.com/', 'https://travis.info/']",nathaniel03,Kayla May,F,"1670 Darin Circles Suite 381
Albertshire, NC 90489",shane55@gmail.com,9/15/1995
1573,Veterinary surgeon,"Shea, Harris and Lang",572-82-8099,"9905 Monique Forks Suite 841
Mooreburgh, NM 49381","(Decimal('-54.541575'), Decimal('-151.673572'))",AB+,"['https://bishop.com/', 'http://blake.info/', 'http://chavez.info/', 'https://marsh-fields.com/']",marthajones,Stephen May,M,"49570 Stephanie Shores
West Jamesstad, SD 36402",qgonzales@yahoo.com,12/26/1924
1574,"Teacher, music",Garcia-Bonilla,198-09-3619,"56981 Oconnell Ville
Barbarafort, OK 37367","(Decimal('78.666300'), Decimal('-49.628277'))",B-,['https://www.ramsey-robinson.com/'],parkdennis,James Green,M,"93199 John Ford Apt. 882
South Kevin, MO 80577",hallveronica@yahoo.com,7/11/2008
1575,Theatre director,"Potter, Orozco and Mercado",415-40-3464,"92757 Patricia Glens
Port Kathrynton, MN 10989","(Decimal('-89.154738'), Decimal('-178.520757'))",O-,['http://www.haas.com/'],cperez,William Dennis,M,"92290 Margaret Harbor Suite 681
Lake Calebborough, WY 62564",vweiss@gmail.com,5/29/1948
1576,"Psychotherapist, child",White PLC,345-98-2089,"USNS Davis
FPO AP 25063","(Decimal('-8.2341475'), Decimal('33.916337'))",B-,"['https://www.thomas.com/', 'https://www.richard.info/', 'https://www.elliott.biz/']",matthewallen,Emily Carr,F,"98099 Warner Tunnel
Port Susanchester, KS 72754",lewismarissa@gmail.com,6/10/1990
1577,Print production planner,Ford and Sons,364-96-3529,"2190 Andre Keys
West Carlmouth, DE 07558","(Decimal('-73.738687'), Decimal('170.991686'))",B-,['https://www.moore.com/'],coconnor,Patricia Bennett,F,"7895 Ewing Junction Apt. 067
Lake Jacquelineport, PA 84793",jrichards@yahoo.com,8/29/1909
1578,Solicitor,Buchanan-Douglas,340-15-9451,"PSC 7512, Box 6669
APO AP 71897","(Decimal('-23.863203'), Decimal('92.224076'))",B+,"['http://www.ramirez.com/', 'http://sanders.info/', 'http://www.jackson.org/']",bethlewis,Mr. Zachary Austin,M,"0010 William Vista
Corychester, NE 11807",stacey44@gmail.com,11/1/1986
1579,"Engineer, technical sales",Anderson-Costa,141-70-7039,"4495 Frazier Wells
West Abigailfort, FL 95423","(Decimal('-86.4891685'), Decimal('137.523851'))",AB-,['http://cochran-porter.net/'],srhodes,Linda Powers,F,"877 Karen Glens
Simmonschester, NJ 61847",tylerthomas@hotmail.com,7/12/1928
1580,Warden/ranger,Collins-Contreras,111-90-5509,"415 Phillips Pines
Lake Robert, CA 54141","(Decimal('51.5235975'), Decimal('-173.597206'))",A-,['http://www.fuller.biz/'],cchen,Joseph Griffin,M,"4493 Dwayne Fork Apt. 590
Charlesside, ME 61550",victorcrawford@hotmail.com,1/27/1916
1581,Government social research officer,Green-Smith,376-93-4293,"88051 Elizabeth Dale Suite 193
Sarahburgh, ME 43712","(Decimal('69.635342'), Decimal('169.542090'))",O+,"['http://www.duncan.com/', 'https://www.wilson-brooks.net/']",lawsonjillian,Keith Villarreal,M,"023 Janice Brooks Suite 619
South Michaelport, WY 52497",katherinemurray@hotmail.com,7/11/1967
1582,Financial planner,Shepherd-Harrell,130-23-7390,"056 Hardin Flats
Rachelville, MT 62614","(Decimal('-54.5468915'), Decimal('-166.735094'))",AB-,['http://www.turner-hubbard.com/'],shirleyharvey,Megan Graham,F,"6173 Powers Island
Jimstad, ND 54399",swhite@hotmail.com,12/10/1914
1583,"Engineer, structural",Anderson Ltd,813-89-6068,"9965 Don Via
North Nicholas, OH 82285","(Decimal('6.4726015'), Decimal('-60.922442'))",A-,['https://www.gonzalez.com/'],johnsonallen,Paul Dean,M,"23760 Kevin Cape
Sotoborough, DC 88787",william80@yahoo.com,7/26/1989
1584,Bonds trader,Williams-Alvarez,558-24-6812,"033 Cooper Views
New Rebecca, OR 94711","(Decimal('61.5997765'), Decimal('57.355722'))",B-,"['https://gutierrez.biz/', 'https://reynolds.com/', 'https://www.simmons.org/', 'https://love-pena.com/']",katelynknight,Mr. Jason Taylor,M,"351 Michael Throughway
Kentfort, OK 98916",qdean@gmail.com,11/25/2010
1585,Musician,"Nguyen, Jones and Wright",784-86-3505,"5594 Collins Station
Matthewchester, PA 61661","(Decimal('51.1223485'), Decimal('-154.401137'))",AB+,"['https://sanders-castaneda.com/', 'https://dixon.com/']",breannadavis,Tony Baker,M,"609 Richard Mission Suite 001
Ryanhaven, RI 58004",harrellmelody@hotmail.com,9/12/2003
1586,Control and instrumentation engineer,Shelton Inc,856-85-5604,"8505 Mooney Ramp Suite 785
Johnborough, DC 39289","(Decimal('-53.534525'), Decimal('-119.638701'))",AB+,['http://white.com/'],rebekahkramer,Bethany Roberts DDS,F,"765 David Villages Apt. 441
New Zachary, CT 26804",mariachaney@gmail.com,1/4/1945
1587,Medical sales representative,Alexander Group,196-85-8125,"6846 Watts Ferry
North Johnbury, WA 40790","(Decimal('-79.345921'), Decimal('-149.292868'))",O+,"['http://www.smith.biz/', 'https://chandler.net/', 'https://jones-morgan.com/', 'http://www.simmons-walsh.com/']",jmiranda,Justin Baxter,M,"014 Bright Parks
Ronaldmouth, NJ 39691",lmcgee@yahoo.com,1/10/1973
1588,Solicitor,Peters-Powell,039-46-6374,"Unit 6862 Box 8418
DPO AE 56937","(Decimal('-44.9304765'), Decimal('160.681348'))",A+,"['http://www.martin.org/', 'https://stewart.com/', 'http://richardson-fischer.net/']",tanyarice,Kristen Martinez,F,"2694 Smith Run
South Matthew, MI 30449",larry80@yahoo.com,1/30/1964
1589,Armed forces logistics/support/administrative officer,"Moss, Mills and Carroll",248-25-3042,"377 Williams Locks
Tuckerview, NE 55647","(Decimal('85.904577'), Decimal('-89.077910'))",O-,"['http://www.baker.com/', 'http://ponce.info/', 'http://thomas.com/', 'http://www.miller.biz/']",jennifer15,Matthew Fletcher,M,"8646 Karen Inlet Suite 517
Lake Jessica, DC 93600",williamchandler@hotmail.com,5/13/1959
1590,Location manager,Villa-Martinez,643-31-5964,"24004 Ford Port Apt. 971
Smithside, NJ 75909","(Decimal('-73.0931875'), Decimal('95.385603'))",B-,"['http://dunlap-morris.org/', 'http://www.gonzales-walker.com/']",davisrachel,Brandon Jennings,M,"8286 Jonathan Fall
New Kirk, MD 47427",craig68@yahoo.com,5/27/1913
1591,"Administrator, local government",Ewing and Sons,713-50-5127,"36006 Bobby Mews
Smithland, UT 38277","(Decimal('3.448113'), Decimal('157.927189'))",O-,"['https://www.ruiz.com/', 'https://herrera.org/']",welchbeth,Cynthia Kennedy DVM,F,"PSC 7664, Box 4802
APO AA 70914",tracysullivan@hotmail.com,12/3/1942
1592,Animator,Joseph-Delacruz,531-16-9783,"7815 Mary Tunnel Suite 618
Carrollfort, CA 65879","(Decimal('-87.1054695'), Decimal('-157.698059'))",AB-,['https://warren-atkinson.com/'],claytonrandy,Anthony Johnson,M,"60513 Gray Forest Apt. 570
Biancaview, KY 33348",susan90@yahoo.com,3/5/1922
1593,"Administrator, education","Jarvis, Pope and Lane",398-76-8345,"PSC 9809, Box 9431
APO AP 05453","(Decimal('-48.7103685'), Decimal('-132.839424'))",O-,"['http://howell.com/', 'https://miller-soto.com/', 'http://www.dillon.info/', 'https://www.cardenas.info/']",jonathanstanton,Patricia Lee,F,"197 Johnson Shoal
Phillipmouth, DC 06197",martinezphilip@gmail.com,6/17/1909
1594,"Accountant, chartered certified","Myers, Reese and Wade",152-65-3770,"39737 Kenneth Tunnel
South Dannyfort, TX 60712","(Decimal('-73.382052'), Decimal('59.905543'))",A+,"['http://www.taylor.com/', 'https://www.jones.com/']",audreyrodriguez,Kelly Crawford,F,"54899 Brown Vista
Saraburgh, AL 78854",donald80@gmail.com,2/13/1934
1595,Hospital doctor,Thomas and Sons,120-26-5872,"288 Cruz Village
Robinsonhaven, NM 67896","(Decimal('-53.440558'), Decimal('-165.220387'))",B+,"['https://johnson-harvey.com/', 'http://taylor.com/', 'https://ortiz.net/']",kjohnson,Sarah Smith,F,"07220 Austin Points
East Amber, HI 29221",charlottepowers@hotmail.com,10/6/1985
1596,"Social research officer, government","Colon, Stanley and Weiss",578-87-3410,"765 Michael Ways
West Caroline, MD 17844","(Decimal('44.892749'), Decimal('-167.039829'))",AB+,['http://www.day-henderson.com/'],leslie85,Donna Mullins,F,"01773 Shawn Plains Suite 901
Troyfurt, MA 82683",garciarobert@gmail.com,5/16/2016
1597,"Designer, industrial/product",Sandoval-Hernandez,609-92-8106,"444 Teresa Ramp Apt. 063
Hicksmouth, NM 91715","(Decimal('-14.622167'), Decimal('-122.498121'))",A+,"['https://mccarthy-villarreal.com/', 'http://cooper-hansen.com/', 'http://www.woods.com/', 'http://parker.com/']",landryanthony,Alexandra Goodman,F,"013 Dakota Walks
New Dennisside, AK 29946",leerobert@yahoo.com,12/22/1944
1598,Dealer,Wagner Group,464-07-4756,"075 Hernandez Row
Mccoystad, MA 42623","(Decimal('-49.288178'), Decimal('-138.615133'))",O-,['https://www.shannon.info/'],ggreene,Robert Carlson,M,"USNV Blake
FPO AA 05687",laura85@gmail.com,9/20/1983
1599,"Engineer, manufacturing systems","Willis, Bryant and Cook",312-92-8526,"Unit 5270 Box 1438
DPO AP 89387","(Decimal('82.455246'), Decimal('119.120078'))",AB-,['http://anderson.org/'],kellyrodriguez,James Sanchez,M,"Unit 3730 Box 5176
DPO AA 40132",kelly01@hotmail.com,11/29/1984
1600,Dancer,Mccormick-Berry,555-92-5784,"9222 Margaret Ville Suite 996
Johnstad, KS 39386","(Decimal('-4.597950'), Decimal('-99.680714'))",AB-,['https://www.olsen.info/'],ogarcia,Lisa Davis,F,"116 Hall Land
West Michele, IN 69848",maryrogers@gmail.com,1/6/1904
1601,Recycling officer,Thomas-Gould,101-25-4377,"8170 Conrad Brooks
Donaldside, AK 54619","(Decimal('46.1337075'), Decimal('-135.672806'))",A-,['http://www.flowers.net/'],millerjim,Jennifer White,F,"40434 Tommy Mission
Adrianville, NC 87798",johnsonleslie@yahoo.com,7/25/1922
1602,Nature conservation officer,Mason-Fletcher,686-71-3784,"685 Nichols Branch
Andrewhaven, MO 15046","(Decimal('-60.2942145'), Decimal('-28.982310'))",B-,"['http://www.wolfe.com/', 'https://shepard-lynn.com/']",jeffreyhuff,Tommy Allen,M,"961 Heidi Streets Suite 747
Sandrashire, CA 60050",nburns@gmail.com,8/27/2015
1603,Energy engineer,Rivera and Sons,651-18-4898,"65572 Debra Ports
Lake Tammytown, AZ 12541","(Decimal('36.468130'), Decimal('14.341764'))",A+,"['http://brooks-williams.info/', 'http://www.green.com/', 'https://johnson.com/', 'https://www.patrick.org/']",tylerharris,Joseph Daniel,M,"4353 Figueroa Hollow
Gonzalezview, FL 49437",donmartin@hotmail.com,8/17/1923
1604,Art gallery manager,Payne-Costa,229-98-3680,"0415 Hall Summit Apt. 969
Ryanberg, PA 29545","(Decimal('-35.787519'), Decimal('-13.799427'))",AB+,"['http://www.barr.info/', 'http://www.mendoza.org/', 'https://miller.com/', 'https://www.alexander.com/']",hclayton,Henry Edwards,M,"639 Vanessa Pines
Lake Benjamin, RI 89970",danielnelson@yahoo.com,11/21/1995
1605,Clinical molecular geneticist,Diaz-Boyle,504-10-6259,"07869 Kristin Islands
Crystalshire, IA 68648","(Decimal('-5.7460655'), Decimal('33.220075'))",O-,"['https://www.sherman.info/', 'https://chung.info/']",fmoore,Maria Clark,F,"7373 Jacqueline Overpass
Lake Timothymouth, NV 16894",brittany65@yahoo.com,3/19/1995
1606,Architect,Taylor-Grimes,041-96-9273,"PSC 0229, Box 7965
APO AP 39574","(Decimal('80.723315'), Decimal('35.996598'))",B+,"['http://tucker.biz/', 'http://www.rodriguez-jackson.com/', 'http://grimes-white.com/', 'https://miller.com/']",kendra48,James Hernandez,M,"710 Mackenzie Tunnel
Loriland, AR 80379",mgonzalez@yahoo.com,2/8/1977
1607,Sports coach,"Garrett, Collins and Griffin",720-78-1404,"167 Young Light
South Joseph, RI 95460","(Decimal('71.6228855'), Decimal('24.272070'))",AB-,"['http://www.olson.com/', 'http://www.walker-wilson.com/', 'http://www.alvarado-weber.net/']",debra40,Shelby Higgins,F,"46127 Jeff Lake Suite 225
Lisabury, TN 01517",ismith@yahoo.com,6/8/1982
1608,Web designer,Nichols-Wilson,042-16-2079,"967 Lee Drive
Ramirezchester, NM 54310","(Decimal('-61.3223485'), Decimal('71.774801'))",B-,"['https://www.garcia.net/', 'http://www.alvarez.com/', 'https://stokes.com/', 'https://wallace.net/']",kristen74,Yolanda Hurst,F,"0447 Dennis Junctions Apt. 149
North Debra, AK 89245",smithshirley@gmail.com,12/14/1934
1609,Legal secretary,Wise-Mckenzie,812-89-2697,"7636 Webb Drives Apt. 484
East Wandamouth, KS 04997","(Decimal('-88.384110'), Decimal('-62.543148'))",B+,['http://www.henderson-taylor.com/'],tyler66,Miranda Freeman,F,"7404 Crawford Ridges Suite 923
East Lance, MN 03207",samanthamendoza@gmail.com,6/11/1946
1610,"Optician, dispensing","Russell, Knight and Wright",758-28-9681,"7383 Roberts Squares
North Amanda, NE 82678","(Decimal('-88.393279'), Decimal('-131.081728'))",B-,"['https://holland.com/', 'http://www.gonzales-castro.org/']",sburgess,Cristian Brennan,M,"966 Moreno Stravenue Apt. 606
Abigailburgh, IN 69728",kimberly01@hotmail.com,9/13/1927
1611,Sports therapist,"Davis, Brown and Chaney",458-10-8957,"10855 Felicia Stream Apt. 289
New Andres, SC 39634","(Decimal('-26.081103'), Decimal('27.586596'))",A-,"['http://www.ellison-west.com/', 'https://davis.com/', 'https://www.pratt.org/']",urodriguez,Kari Gonzalez,F,"51552 Michael Motorway Apt. 700
Jaredbury, LA 82259",alyssagreene@hotmail.com,6/13/1951
1612,Comptroller,"Little, Powell and Macias",071-55-3562,"623 Mccarty Canyon Apt. 974
Youngport, TN 16184","(Decimal('46.2953945'), Decimal('84.585754'))",AB+,['http://green-phillips.info/'],randyfranklin,Rachel Sanders,F,"25293 Mata Fords Apt. 788
North David, OH 69154",shill@yahoo.com,12/3/1914
1613,Video editor,Fisher Inc,461-25-5175,"2478 Tami Extensions Apt. 557
West Stephanie, OR 14353","(Decimal('-31.3328645'), Decimal('-82.346025'))",O+,"['http://jones-conway.com/', 'https://www.jones-richardson.com/', 'https://www.phillips-ford.com/']",walkernicholas,Jennifer Williams DDS,F,"93953 White Burg Suite 465
Port Shawn, MD 00601",william61@yahoo.com,12/13/1954
1614,Charity fundraiser,Jarvis-Phillips,055-99-3734,"305 Danielle Village
New Christopher, MA 67738","(Decimal('15.5562395'), Decimal('-50.360712'))",AB+,['https://patterson.com/'],juarezchristopher,Jessica Cruz,F,"668 Janice Mountains
Johnville, IL 31102",hodgeandrew@gmail.com,11/22/1934
1615,Volunteer coordinator,"Marshall, Nichols and Freeman",297-71-2776,"4458 Thomas Motorway Suite 054
Port Justinville, HI 23252","(Decimal('-49.1805475'), Decimal('-141.066146'))",AB+,"['http://vasquez.com/', 'http://riley-castaneda.org/', 'http://kim-miller.com/']",kelli52,Nichole Randall,F,"92483 Gary Brooks
Lake Bethland, AL 60597",loripeterson@yahoo.com,4/20/1951
1616,Television/film/video producer,"Schmidt, Griffith and Frazier",812-99-8863,"31166 Key Club Suite 162
Port Kevin, TX 27639","(Decimal('-8.492523'), Decimal('143.525715'))",AB-,['https://www.smith.com/'],philippayne,Mr. Carl Hicks,M,"2869 Amy Coves
Melissachester, ID 00538",bernardmorris@gmail.com,7/14/1967
1617,Insurance broker,Lopez-Martin,671-96-7632,"692 Debbie Lane Apt. 358
North Raymond, GA 73757","(Decimal('-80.4427205'), Decimal('6.153120'))",B-,"['http://www.wells.com/', 'https://garcia.com/', 'http://bryant.com/', 'https://tate.org/']",tanyahill,Christopher Owens,M,"0325 Leslie Station
North Patriciaside, PA 79815",sylviachavez@gmail.com,6/17/2019
1618,Land,Wilson-Levy,198-38-0388,"886 Justin Field
South Tonyfurt, NM 11971","(Decimal('-39.0630335'), Decimal('-54.076311'))",B+,"['http://www.stuart-edwards.net/', 'http://potter-sanders.com/', 'http://www.santiago-wade.info/']",andrewschultz,Deborah Shelton,F,"18647 Swanson Lakes Apt. 034
East Rebecca, DC 65139",angelicawilson@hotmail.com,7/3/1955
1619,"Engineer, control and instrumentation",Anderson and Sons,390-45-6446,"7776 Luke Place
North William, OH 48147","(Decimal('-78.8012155'), Decimal('54.966478'))",B-,"['https://young-taylor.com/', 'https://moran.info/']",martinrodriguez,Zachary Simpson,M,"3343 Blake Shores
Christinaport, VA 92070",wrightandrea@yahoo.com,3/25/1963
1620,"Nurse, adult","Alexander, Woods and Hall",095-40-2565,"689 Alex Glens
Matthewshire, KS 45459","(Decimal('86.220484'), Decimal('-139.073977'))",AB-,"['https://www.taylor.info/', 'http://murphy.com/']",fhernandez,Robert Jones,M,"944 Andrew Parkways
South Donaldshire, VA 94751",alexander01@gmail.com,3/11/1928
1621,Warehouse manager,Anderson PLC,480-21-7690,"51834 Webb Estates
New Heather, NE 51114","(Decimal('22.6081385'), Decimal('152.190077'))",AB-,"['https://www.hodges-manning.net/', 'https://www.vargas-orr.info/', 'http://www.anderson.net/']",smartin,Denise Jones,F,"2128 Montes Walks
Lake Mike, VT 24879",miguel27@hotmail.com,11/22/1918
